domain,label
hbcnews.kr,0
stellenmarkt-sozial.de,0
vhtjklgekncqonjq.biz,1
upahqelatem.ddns.net,1
leukaemia.org.au,0
fyxvgqymu.com.py,1
girlfriendslightclaimdiscuss.com,1
gkkisk.net,1
brooklynnmarianne.net,1
uagduqqwxowcsfitr.in,1
u6anbi3m7onn8dutc2.net,1
1pondo-nu18v.net,0
simix.ru,0
organicindia.com,0
yhytsnkpk4shule.ddns.net,1
hrthsdlesrvekceb.eu,1
dqnxqmfrc.com,1
apons.eu,0
akozcem.co.kr,1
mvnodynamics.com,0
dominik-borg.de,0
cloudexcusebluestrikeclaim.com,1
okeihan.net,0
pujadug.info,1
haxaduqu.ru,1
rellasamortiser.gr,0
dueftlklqr.dyndns.org,1
customelements.io,0
bnmfladdaccalkff.com,1
coingeneration.com,0
shazissultan.wordpress.com,0
zqoumjlncu.com,1
angosturarum.com,0
scrcvcuiwcymao.biz,1
cbce.org.br,0
i2ghlgs7uv5beocpi3.ru,1
equalhome.net,1
rbzovgn.com,1
xeic.pk,1
surname-oldest.am,1
classlunchswingrepairsleep.com,1
tqtsgfeterkw.com,1
dciclas.com,0
fklngawwqbfkj.biz,1
nrtaxreturn.com,0
cachedpages.com,0
carpstore.it,0
kjnlnpgmjdgiwpeh.eu,1
papatemporefacere.com,1
lctmufr.com,1
atlantabarber.com,0
metroretail.com.ph,0
tgaznxbqqojrl.com,1
alter-bizarrer-bahnhof.de,0
koco.com,0
highhorseperformance.com,0
rusff.ru,0
jmbdkwghi.net,1
alonelabor.net,1
vidyagyaan.com,0
egorazzi.com,0
lminbhongxjok.com,1
dtpdhtufiowg.pw,1
hpsdvcjehyqxcvjr.eu,1
articolo21.org,0
frogstone.com,0
punkcase.com,0
fogonpcwtr.com,1
inkeoppeelhii.ddns.net,1
odstkcmvso.com,1
ryqeyb.dyndns.org,1
aino9.net,0
hpsbegumpet.org.in,0
middledollar.net,1
cngceslbuc.ms,1
galleryhomes.com.au,0
essai-armes.fr,0
zaask.es,0
datascoutpro.com,0
dk6gj66aabs7b8xb3l.biz,1
autosklep24.pl,0
consultancomputeraplus.blogspot.com,0
youconfessionalia.com,1
obckbdboabbfaalb.co,1
diabetes-book.com,0
ogcmjqcjtvpfnqqne.com,1
f4p6xwir4u23srvr1j.biz,1
gicp.net,0
complot.com.ar,0
tracker-medieval.it,1
washingtonharoldson.net,1
bouquetbrands.com,0
kzqyvxawmz.com,1
isket.jp,0
eviazoom.gr,0
empresa-journal.com,0
chinese.cn,0
ocegewaumcuquyyw.org,1
hotxxxjapanese.com,0
creativetools.se,0
bfwxdgjqtdcc.in,1
mfebfkfldaccdccm.com,1
torinoinfo.altervista.org,0
yxpalnqdqbinut.com,1
jukbli.net,1
rom1.ir,0
3dn3d.com,0
egsd.net,0
nuerwbgdtpgcnrfu.eu,1
ripetitorewifi.it,0
es64u064uceg.net,1
cortas.me,0
qkgogwauessomcqa.org,1
qrutbwksdt.com,1
mon-bagage-cabine.com,0
minepiece.net,0
tsndyknw.mooo.com,1
gorisdumagw.com,1
ekskurzia.bg,0
q0qt7fmn1dqlsns2wx5.ddns.net,1
idlxfhyif.ps,1
handy-doc.repair,0
reductionscultures.wtf,1
mafiareturns.com,0
infordio.co.jp,0
awaeueiq.biz,1
sukitto.net,0
actmoveluckmissfoldrepair.com,1
worldgoo.com,0
keramikbedarf.de,0
quj.com.cn,0
2345ll.com,0
streemerly.com,0
bikdbjotdpaodul.mu,1
equitybridge.com,0
coquividruh.ddns.net,1
8i868u8e4yk2.top,1
destinoveracruz.com,0
anukoo.com,0
usadosdimas.com.br,0
debarkingjoooh.online,0
cdjimfjspm.com,1
xrcxsmifdtsmeblc.eu,1
trailerloop.de,0
vitalyuncensored.com,0
putgive-away.ru,0
boursenews.ir,0
amxcoufqbex.com,1
foodfindo.com,0
qeduka.info,1
com-ciao.com,0
jpffdyeqppqr.biz,1
dfclawxsayiygwrc.eu,1
xtipyy.hn,1
znqsqpcn.dyndns.org,1
nzphwuom.com,1
btrgppooshabtiegk.com,1
fnbvvcenrv.com,1
structurekurt.be,1
taguptea.ru,1
tortugaswiki.com,0
eenaduindia.com,0
faribaultmill.com,0
banwozdi.ru,1
nightletter.net,1
bharatiyamobile.com,0
xn--2016arklar-3ub26c.com,0
qeibavea.ru,1
fintechconnectlive.com,0
contraforindulg.com,1
hunemdohwit.com,1
dpbimmtreckh.com,1
pvyqtafox.cc,1
cgsqqaiugkeq.info,1
jamplay.com,0
valmaubuee.fr,0
avonlab.ru,0
ictaxi.ir,0
ewgaradlo.com,1
the145.com,0
ltteunyvvjvfytvxi.tw,1
hhcjftaixkxctef.net,1
redholics.com,0
keb.co.uk,0
zyhxorci.com,1
engl3844.github.io,0
thejmiacademy.com,0
networkmarketing-magazin.de,0
rojadirecta.blog,0
elearne.com,0
1xbahis10.top,0
okmoesexa.ddns.net,1
epfcttrirpycoque.eu,1
seouldls.ir,0
trackspecauto.com,0
hhooonetkkgx.biz,1
kimberleemarianne.net,1
ceikolux.ru,1
vuqqyuihgghy.biz,1
celmaxx.com,0
powerledtoreima.blogspot.com,0
believeitornot666.com,0
jadlog.com,0
aendbofckfkaffdn.com,1
fqdaylscthgegyguhynrtkx.biz,1
ryneryv.info,1
gsybpsmvyfndfybi.eu,1
corvetteonline.com,0
thosecourse.net,1
xigof5hekg5kgij3v5.cn,1
iqdbileqevwdne.biz,1
nofotycywos.eu,1
espoahah.ddns.net,1
hairypussyhoes.com,0
kuysaymuaakockge.org,1
gpw-oman.com,0
itguyswa.com.au,0
2spaghi.it,0
kerink.fr,0
logicbig.com,0
eaaoclakkeamedab.com,1
k0kxc03hkfgxy65bwjy.ddns.net,1
burst4all.com,0
dajcti3otqj4.net,1
dyela.co.cr,1
fdprograms.com,0
nbjjjfhqdstevjl.ru,1
unimol.it,0
703hm4if5rc03vybu4i.ddns.net,1
skiskiqukaywkiis.org,1
nmea.org,0
bctpxuru.dj,1
hcrjyiypzzgt.com,1
globalpay.ro,0
santamaria.ind.br,0
hmihslrqbgxs.biz,1
evansfuneralservice.com,0
univen.ac.za,0
mukosasi.ru,1
porneata.com,0
kcrdehjgqr.com,1
3q5mb5go8krlgn3nyf.ru,1
kcguodegymaqaaeev.net,1
fm99activeradio.com,0
mediasaturnrussia.ru,0
newwuzhong.com,0
downflowofcwpza.online,0
emske.com,0
otanxuontivee.ddns.net,1
rdnuphnmdxmgejfcxl.tj,1
awy8ioak20m8.net,1
plotka.ru,0
kentsgrocery.com,0
puffy.com,0
kaspi.edu.az,0
ulloi129.hu,0
tuinternet.com,0
fobivuzinef.eu,1
cdssnc.com,0
camping-adriatic.com,0
e41grj36eqd20o11cwptbwkxnqayd60a27nsmq.info,1
jtmparis.com,0
icoph.org,0
ylahbiemvcypqlim.eu,1
lorehogu.ru,1
6w6cqsqsekag.org,1
limitsizfilmizle.com,0
cryoutcreations.eu,0
seehow.com.cn,0
kinocok.club,0
kqwa4m4awy42.org,1
yksythkbgspkdyip.eu,1
gahyfus.com,1
exmhcpdbgpltoojki.com,1
guohao.asia,0
3hctqdurwvatqxqfsfw.ddns.net,1
c4vucjgexks4ph1i8f.net,1
templu.net,0
sysmaint.com,0
hadenoz.info,1
eromomo.com,0
napower.com,0
meetale.com,0
frhtm39gqgwbyhze51jwm29f42p32j26jra27m29.ru,1
fobiqab.su,1
enwehidl.com,1
clinchfieldcu.com,0
iddwnvcejhwvqwao.eu,1
yassnpi.nl,1
gereddifun.com,1
mairie-creil.fr,0
starchef.edu.hk,0
vdlthmsanjykf.com,1
comma-store.de,0
relatedisgrealty.com,0
qyopxmtwfsff.net,1
kfcsctjmhnpiaowpm.in,1
revendre-meubles.com,0
zhapletf.com,1
norrisacademywi.org,0
uiowcjcfeuyy.com,1
palace.co.nz,0
coqjinug.ru,1
cmfdhxro.mn,1
ohvtqwqdsendrc.com,1
belonika.livejournal.com,0
stthay.net,0
ectjbpjkzj.com,1
888lots.com,0
sumuwgaheds.com,1
octopus.com.hk,0
twomen.com,0
5icesconf.com,0
dinqpejwxwum.pw,1
1bia2club.info,0
tyhboutique.com,0
milflesbianporn.com,0
xmhouse.com,0
jardines.com,0
historiasdecasa.com.br,0
mlexp.com,0
petice24.com,0
uxblock.com,0
registerlockpracticepossess.com,1
aqheawakic.ddns.net,1
fasihgim.com,1
entitledbrewing.com,0
hffcjliuchlqwklt.com,1
lajornadadelvalles.cat,0
maurizioblondet.it,0
cewcqqscqoasyiok.org,1
ukrhome.net,0
wnqwgenansnan.com,1
enpsln.com.jm,1
kehlsteinhaus.de,0
traumaearthquake.mo,1
ikvvfxbtxpouphody.com,1
zelvycarbon.com,0
wpmytjgker.com,1
elblogdemara5.blogspot.com.ar,0
tzjkypqay.com,1
midland-rus.ru,0
lxoleqyyrkkn.in,1
tkfllcsdcphrno.info,1
8igecigu4awa.org,1
felipesilveira.com.br,0
snip2code.com,0
pyrfpsoiptcux.com,1
aioptify.com,0
o-xe.com,0
nldzfqge.dyndns.org,1
readtdg2.blogspot.com,0
dqnxtilavqphdjmk.eu,1
ibgtfnuctouanngie.tw,1
qrltxoth.com,1
gbnmdvfnpkvjunfy.com,1
kwkgutachten.de,0
ticketswap.be,0
dvcpwsoqrphjan.com,1
viddocs.blogspot.mx,0
bitellion.com,0
czarni.slupsk.pl,0
islamsejati.org,0
iqscygaskiaqwgqo.org,1
moviepilot.de,0
multiweb.cz,0
wwqykmiwyeqaeawk.org,1
mendotahearth.com,0
sprosus.com.ua,0
mrep5vob7tw8sdwtcvi.ddns.net,1
crimsonfeatheredraven.tumblr.com,0
eveningorderly.net,1
bilitline.com,0
blankbeachcakedescribecommit.com,1
homeandplan.com,0
dorsetthotels.com,0
cdxlife.com,0
degogoenbog.ddns.net,1
delinat.com,0
coautilities.com,0
outsideprofileclueridediscover.com,1
mbhtsgamuaeettbfu.cc,1
rbihiytidxpkiyi.co.uk,1
rickypaperback.gs,1
flierstream.net,1
khiffptpxjby.in,1
answerabove.net,1
mpengtcnwd.yi.org,1
tps138.com,0
yvblcquawhkdxths.eu,1
flowingzen.com,0
cmfukycjtz.com,1
penetric.com,0
cgdwbgc.dynserv.com,1
lygyvar.com,1
werilnud.ru,1
retailers-randy.org,1
otagh-bazargani.com,0
ahfiufdo.ddns.net,1
imagenesdelsur.tv,0
sannes-block.de,0
thredzonline.com,0
hoxinaje.ru,1
channellandscaperingtree.com,1
enter6.co.kr,0
scottishdownloaded.net,1
bbmblkbddadbeafa.com,1
kalcek.si,0
dawlcznaits.tv,1
owasp.org,0
vantaansanomat.fi,0
keyaqgl1xvw1h7gzkv.biz,1
xjhentpw.pk,1
tipsattorney10.com,0
prostitutkixxx.org,0
berlinzweinull.de,0
spanishhackers.com,0
androidim.net,0
relativestandplacelaycontinue.com,1
gostudy.mobi,0
workshop-park.re,1
h2i.com.br,0
moskisvet.com,0
tradefintech.com,0
fmgo.jp,0
qgaoawu4a4mo.top,1
q0mgqoi46si8.top,1
umarkets.com,0
urbcjvrglmdf.org,1
xoseolat.ru,1
oskigzq.mooo.com,1
leokeaja.ru,1
telluriderealestatecorp.com,0
zjargzjhvc.com,1
peterrowland.com.au,0
qedylyl.com,1
cccekabefmokbfcb.com,1
bmfmldfaobaabblb.online,1
fefeekcaeobfendo.com,1
watchgaysex.xyz,0
a2inmr3l3har74a.ddns.net,1
pylones.com,0
sdqwkvthyo.com,1
encourageplay.com,0
nqrogxkngrqhk.biz,1
molbknnmcfofkcdd.org,1
edikgmilnwlaa.info,1
pupeg.eu,1
apid.com,0
scteam.net,0
screwvids.com,0
donauturm.at,0
ulsmnjguvrxouu.com,1
treinoemfoco.com.br,0
columbinemassacre.forumotion.com,0
action-required.space,0
lyhcoqsewpyhpuhv.eu,1
edgeofurge.com,0
a4vn.com,0
thesimplearcade.com,0
qgfusnogtq.com,1
yksivaihde.net,0
tvkvottnkftbtjr.net,1
graphicdesigngratis.com,0
julian18.com,0
oncp7jcnmtmnutorw6g.ddns.net,1
nowadaysrecordsshop.bigcartel.com,0
yfhbhmvxdvjxgne.com,1
solutenetwork.com,0
mrinlnpnpvmvfqo.com,1
hitnotifier.com,0
ipbc.org.il,0
agnocelditu.com,1
crurestoran.eu,0
aaciuyimyesougck.org,1
gigst.rs,0
io6kigygy4ys.org,1
nb-bet.com,0
lkoclr.dyndns.org,1
d-kintetsu.co.jp,0
s14orb4271n2zk8c1b.com,1
lipaheac.ru,1
hamburgfitness.net,0
clarisbanca.it,0
bjubwzd.com.bo,1
komator.de,0
q67bcbw0781t7nc0wji.ddns.net,1
pickfell.net,1
fijeatur.ru,1
araya-rinkai.jp,0
zkm.de,0
lyxesyn.su,1
sinteza.net,0
ispevirtutisfacile.com,1
aylida.com,0
heovilke.ru,1
cucinalibriegatti.com,0
kuguoaksaiggusys.org,1
unwvjxmdncwxewamj.su,1
veiqohoj.ru,1
drumphoto.com,0
lqmmsjulquvgvxvj.eu,1
royvwpmmpyir.su,1
micnatle.ru,1
grwnxqzqc.com.pr,1
hungororing.hu,0
vidonpetridicimusbasi.com,1
aislirb.in,1
bakohuxx.ru,1
growlabs.com,0
idihgoflocw.com,1
theironskeptic.com,0
dpuumdqnkg.com,1
mgtma.com,0
windscopo.blogspot.my,0
ogqkyoqegiakmkks.org,1
hcqgwtbaixwxcgsk.eu,1
tuflow.com,0
ozlqiwnansnan.com,1
i8i4mge02ga0.net,1
rede1024.com,0
nysec.org,0
mameluko.com.br,0
emporiodacerveja.com.br,0
tmimgcdn.com,0
unixplaylist.net,1
cadisuatd.ddns.net,1
diveco.net,0
verbumqsicutessequiaest.com,1
kycqgawq4y4y.net,1
helppreventdisease.com,0
dejwx.nl,1
7a5wzkyrs356qe38t7.com,1
guzcwufqbex.org,1
ghostgames.com,0
sewrelwaigkmhxdbp.tw,1
lkiuetirhaoruw.info,1
dun4me.com,0
phgightfaek.dyndns.org,1
4msmwywmsmoe.top,1
signupinsects.ch,1
v83opnlite45r8pqsq.ru,1
mgsmcwiq.info,1
lhxoybxlppoi.pw,1
haftxflbpdcvharpkt.com,1
jasoncorning.com,0
energiadeporvida.com,0
itsnachotime.com,0
learnchineseeveryday.com,0
bkebb37xklxllmtogp.com,1
dreamfish.net,1
olihwef.com,1
gammadonna.it,0
clarius.com,0
oigsrwiq.net,1
enterprise-facilities.com,0
partridgeminioffers.co.uk,0
yobnsyfqbex.com,1
marcherverslesoleil.com,0
azmxbxjlia.com,1
eqkkbwnansnan.cc,1
asterios.fr,0
ofqwvtzsc.tv,1
showerremoveegggroundobject.com,1
fmk-online.dk,0
bogdanalupoaie.ro,0
marconetworking.com,0
bookoff.co.jp,0
rodgab.com,0
aviancacargo.com.br,0
acikfutbol.com,0
ilumea.pl,0
tufuqyp.info,1
fodoafdbcdlnkakf.com,1
powerpoint-study.com,0
ugafewreinr.ddns.net,1
infofilmindo.com,0
vuxkirov.ru,1
cloudwash.net,1
volcanodiscovery.com,0
qauiqyej.com,1
series-onlines.com,0
8qgi8yge0a4a.net,1
spidyhost.com,0
awufdar.com,1
osubeaverfreezer.com,0
fsaawmjwywujakfw.eu,1
wqsqsm02w2o2.org,1
comparedaddy.com,0
ministeriodelacultura.gob.ve,0
e0ao6smwugik.top,1
k2qhidq8ax16wb36ila8ah7.ddns.net,1
companywaraccountbidrepair.com,1
hefuagjeanrtilth.eu,1
dwsl.co.nz,1
ruhanean.ru,1
24onlinerecharge.com,0
dlcfemldkmfdcdbc.website,1
eabxscuiwcymao.info,1
fsvmlkskpqhw.com,1
fearinterestedstanddiscover.com,1
ext-2661687.livejournal.com,0
banlifoj.ru,1
megasesso.com,0
vaccinenewsdaily.com,0
booted-babes.com,0
kawqoukmsikm.net,1
lhzdtmwkijcexg.com,1
tradition-ralph.com,1
gooddailynews.co.kr,0
bdgurpeajwjasjij.eu,1
hotanalporn.com,0
lyrywir.com,1
ofsjid58anet76ojmro6mri.ddns.net,1
footaction.com,0
led-lenta.ru,0
forum308.com,0
gn2goz1mxl3xmbq75y.cn,1
daughterswap.com,0
hbhchfr.ir,1
ttsnfckhrohq.biz,1
fantoche.ch,0
denken-macht-frei.info,0
aasoo.org,0
z3ktcq882wk6jrezyg.com,1
mxqpqrkmd.tv,1
pkugxetwowlsf.biz,1
lanet.lv,0
meaxugur.ru,1
centamap.com,0
mobemwbtehjqaeqiq.me,1
audiodeluxe.com,0
chenguang.com.cn,0
yscu.org,0
montgomeryecclestone.net,1
ltcompany.com,0
upbgslnpqo.com,1
gfqcpaifkxd.bit,1
vonycic.com,1
tungwahremoval.com,0
nero123456.tumblr.com,0
bitcoinonline.cz,0
twsirqugxixpmveq.com,1
mangalaholland.com,0
jabqwkgl.com,1
joesalter.com,0
tfmhsvvikdiagotkb.cc,1
zrysutkidq.com,1
ocqucwqyoemgweck.org,1
7podspifafw4aby.ddns.net,1
csgo500.com,0
instanthost.uk,0
uenllmlcyhskkktso.tw,1
gabwggfqbex.com,1
cklphsuiwcymao.info,1
2v5xcs8qbzxoikvmd7.biz,1
memini.ru,0
weblog-designated.cn,1
ixwtgncvo8qlmlo0w41.ddns.net,1
y4upgt18ilshyxc.ddns.net,1
rafspijepwfkwna.com,1
bnd.co.jp,0
girlinstallappropriatemarket.com,1
myintegraplan.com.au,0
retirementmunich.sg,1
proshares.com,0
euypqshgelhywcrwjnijvcr.org,1
ceuqausaimcqwkma.org,1
mbghmpkdl.cc,1
unpog.org,0
xdnutcgrlbdkqakwy.pw,1
spokt.com,0
rock-bands.ru,0
usaaroundtheworldnews.com,0
deenortoncenter.org,0
ockkfacmflccamnd.co.uk,1
systemfriend.co.jp,0
hbhqakdex.com.ng,1
mariabellawhittemore.net,1
secourisme.net,0
koblenz.it,0
gpejvsdsholapet.org,1
gemmedia.net,0
hj5173.com,0
mufg.jp,0
hhuejcqdbjrnv.com,1
quivocabuliliceautemhlic.com,1
laptop-ac-adapter.de,0
christophersullivan.net,1
vicictac.ru,1
mygsjh.dynserv.com,1
cantosirene.blogspot.it,0
llinux.ir,0
asoca.com.ve,1
zhaoonline.com,0
lriffd.yi.org,1
cdffbofddclblcda.cc,1
fm-motoculture.fr,0
autotex.pt,0
lcslapgdmtft.eu,1
bulgakovmuseum.ru,0
retail-insurance.com,0
wsikuuiyicmqciku.org,1
cmwfs.fr,1
modohwotd.com,1
fliercondition.net,1
realgunreviews.com,0
aua2018.org,0
haiduk-d.blogspot.de,0
rxulsburjcpylo.nu,1
tsikot.com,0
kiosdewasa.com,0
ullefugna.com,1
yyuj.li,1
mfovexsawitgdwafwtzh.com,1
ocltdgpmnef.com,1
fixedpricecarservice.com.au,0
saovgaadu.ddns.net,1
stili.pl,0
cwboriacwxl.com,1
tokumen.co.jp,0
fsxorektnbqjc.co.uk,1
literacybase.com,0
rkfnjfqqwfmphleafztdce.com,1
spelunkyworld.com,0
chcreelwtlcw.pw,1
xdngsgn.org,1
qm42b62rnaw8nhwh54.biz,1
ankos.gen.tr,0
irkigltncp.com,1
tqdwjcn.com,1
until-infant.ps,1
yundzh.com,0
ycjsrcnhhydl.info,1
record-planes.com,0
qnwddakdgimifkbie.cc,1
fedacwumdeh.com,1
lmrgygn.org,1
unitins.br,0
vplaiaeeahoaawgk.eu,1
beoglovgbwfwufv.info,1
ncvdvpowdvwhuujkj.net,1
hangseng.com.cn,0
stancenation.com,0
garnetvalleyschools.com,0
microview.com.cn,0
construtivo.com,0
indulgentieecclesie.com,1
yeeoppboac.dyndns.org,1
gfi6elgh1r1to0u.ddns.net,1
diabetes.com.tw,0
hivebrite.com,0
toponlineforexbrokers.com,0
rcindependent.com,0
utxexuagipix.ddns.net,1
elviscostello.info,0
dfmhodmguxyf.co.uk,1
16lou.com,0
dnqovkhmau.com,1
concessasnmalletprimis.com,1
qxeuvyfwckkifoqgh.su,1
krmdrjkta.com,1
gbxqsufqbex.com,1
urdykwuxjukdbh.ru,1
asvxhs.biz,1
japxozyuwg.com,1
wearepopup.com,0
sontreeballgradeoilbottle.com,1
invphmmiymtvliwo.eu,1
xzlcmr.lv,1
aefbddlbnedkfamc.co.uk,1
evassqaprsgccjx.info,1
thebirdthebear.com,0
significancefingering.de,1
knifeup.com,0
meovustiwusub.ddns.net,1
akvxdzmteigkuywr.com,1
klclclqd74cbgfwlwp10odo.ddns.net,1
ifactner.com,0
howtobrew.com,0
xuaksdipjmpvrhny.eu,1
bitetone.com,0
8mgu4icuc2se.net,1
lyryjuj.com,1
hyvpgtlpkmkf.com,1
freshersjobfair.in,0
money-lifehack.com,0
leccoscacchi.it,0
leeoh.no-ip.biz,0
secure-xchange.com,0
xudamaecpuri.ddns.net,1
gwarlingo.com,0
ohmylife.cc,0
bozgoqfa.ru,1
vuzarsn.org,1
blackhawkchurch.org,0
ciqauuaieywkkams.org,1
wirelicence.net,1
heddels.com,0
hacides.net,1
intubatedzzvvtvi.online,0
kursk-izvestia.ru,0
capecodtoday.com,0
carrobauru.com.br,0
qovod.net,0
zercalo.org,0
28awqkm46ku8.net,1
dmyauupho.ro,1
tgjvojjwbhwc.biz,1
jurnalskripsi.com,0
gjsmmqujbskjnu.co.uk,1
i55jymwnqa57arg33oycsc39d30kwe41nsbsg53.biz,1
thht365.com,0
baserltd.com,0
twqdklaiex.com,1
grupoomese.com,0
tibf.ir,0
igfhdijelqjx.ru,1
rad-installer.com,0
vnokygycsejyjxiweexoa.ru,1
bit-surf.com,0
onaaktdtgokbhagq.eu,1
osaka-pct.ac.jp,0
bokrokfi.ru,1
dkmsince1968.com,0
loteria.com.ec,0
xkpyrifox.cc,1
repre.sk,0
gvtv.co.za,1
thewinnersenclosure.com,0
capitalbankmarkets.com,0
kamalpatel.co,0
keiwikaf.ru,1
neurochaintech.io,0
teatvvhhje.com,1
lladffkomcolmlak.com,1
qqplezdjxv.com,1
eniiddmrjchs.in,1
suggestsmembers.tf,1
tmomqxu.tv,1
dakacaadflfnmadf.com,1
delineateyourdwelling.com,0
fqymiuswxj.com,1
mg5ajr8ppeo8ri7h21.biz,1
ktafoxmt7hs0qjc.ddns.net,1
aloftlondonexcel.com,0
movenowthinklater.com,0
jfservice.se,0
independentagent.com,0
eweuvepbmpeknlauleqwi.kz,1
peliculasmegahdd.com,0
xeiwahhkos.com,1
hpodlk.com,1
serbiennachrichten.com,0
easy-businesses.com,0
cicteoci.ru,1
filmesporno0.com,0
siamintelligence.com,0
salampapua.com,0
netnerds.net,0
alaki.co.jp,0
kralkaptan0863.tumblr.com,0
rrcrqyikatrcvcqg.eu,1
populumomregni.com,1
tasupoopu.ddns.net,1
edxckiqy.com.bo,1
mindshakes.com,0
ausopengolf.com,0
batcupan.ru,1
xoqhujal.ru,1
ameli.com,0
unshghpxxndvabllj.tw,1
thietkeweb9999.com,0
nfgneauxqrrbvuqv.eu,1
ingva2wlk8cjw4c0o0u81fi.ddns.net,1
yndvkuu.tv,1
waveinvitequotelipwaterdisappointed.com,1
redbreakfastparentconsult.com,1
mefsyiffeltl.pw,1
doubleunderstood.net,1
greenpartywatch.org,0
slwxyvufw4sb1dylkxg.ddns.net,1
ijpbs.net,0
beautyqueenuk.co.uk,0
protein-projekt.de,0
odtdocs.ru,0
yeniferace.com,0
wrongoctover.net,1
awi4yomsqkm8.net,1
ztbknpechy.com,1
annflebcdancloen.org,1
gurgpbaegnwyseqm.eu,1
nebfnfcaoklckdll.cc,1
cesocgqwygkuiamm.org,1
620cd.com,0
skazochnyj-domik.ru,0
youngsmallpics.com,0
stjosephlincoln.com,0
vncold.vn,0
pickyourownchristmastree.org,0
gava.it,0
hwavoqjqjreug53dzhwo51nqh44kti45e31b48.net,1
insurancesaman.com,0
poweryogabuffalo.com,0
commissionemodocertinvel.com,1
videovores.com,0
gbi6wp1410wpcvwh5lu6m4w.ddns.net,1
skiinfo.no,0
mixodove.ru,1
steamworldheist.ru,0
titaniumerrors.yt,1
ymirohscgjxm.ru,1
rahmdugsbk.com,1
jarritos-drinks.co.uk,0
modohnam.com,1
couponfinder.us,0
zooverresources.com,0
qyorbbjyqn.com,1
chocolateandmarrow.com,0
farming-17.ru,0
elernufdorg.com,1
bidhannagarcollege.org,0
oankikdtwehhrecqs.com,1
italiaracing.net,0
aaklxiqrrspwxdsvup.mn,1
xn--nbku14gn3gtigiui.jp,0
bicomftmfvku.biz,1
volgmed.ru,0
saludsindanio.org,0
amountobject.net,1
jqttmngganto.sc,1
ddirnunyxykl.com,1
mayracabrera.wordpress.com,0
waewciqi.ddns.net,1
crawfordandpower.com,0
brazykicks.com,0
www-en-rhed-ando.blogspot.com.es,0
watchedranging.sg,1
uqzdzbvwhripzjvkn.com,1
comsho.com,0
israel365.com,0
kilencesterv.com,0
sintesisdeguerrero.com.mx,0
tahseen-team.net,0
mddkfrghmfmojorwgxgmjfiwslvw.net,1
ikcxprddotvp.com,1
aqqoqcrmjgxghbtw.eu,1
amnjlnnjamhqyhtmlnpqxsqz.com,1
bandlecturepurposeground.com,1
xtrart.es,0
medicine-online.org,0
adamdtechnology.com,0
tmsgxbcldqbbovwud.cc,1
0y4igasi0m8e.top,1
orangeave.co.kr,0
cquwwovktd.com,1
32yfulepqp18ifq.ddns.net,1
erfolgreicher.eu,0
kihufxkofayfjt.com,1
zrjjgf.net,1
fvlkgoerhighxoilcpcu.sx,1
szludyfqbex.cc,1
vofymyk.com,1
esmemm.com,0
remaining-paths.kz,1
jinbaidun.tmall.com,0
hanefli.com,1
gensoukyo.net,0
eckerd.org,0
zonnepanelenenergie.be,0
kobdadflfbkkneda.com,1
occaqoessiucsmyo.org,1
vignevin-sudouest.com,0
happypancake.com,0
avqcbvpbyv.com,1
vfhnitwaxunrnmvturaq.mn,1
